column,total_count,unique_categories,mode,mode_count
id,602916,602916,68407277,1
member_id,602916,1,,602916
term,602916,1, 36 months,602916
grade,602916,7,B,201100
sub_grade,602916,35,B5,45059
emp_title,602916,174269,,62101
emp_length,602916,12,10+ years,169369
home_ownership,602916,6,RENT,293098
verification_status,602916,3,Not Verified,235563
issue_d,602916,139,2016-03-01 00:00:00,15852
loan_status,602916,9,Fully Paid,318541
pymnt_plan,602916,2,n,602829
url,602916,602916,https://lendingclub.com/browse/loanDetail.action?loan_id=68407277,1
desc,602916,33290,,569446
purpose,602916,14,debt_consolidation,276441
title,602916,23405,Debt consolidation,248960
zip_code,602916,916,112xx,6918
addr_state,602916,51,CA,81379
earliest_cr_line,602916,703,Aug-2006,4475
initial_list_status,602916,2,w,374835
last_pymnt_d,602916,137,2019-03-01 00:00:00,210299
next_pymnt_d,602916,80,,379116
last_credit_pull_d,602916,140,2019-03-01 00:00:00,359308
application_type,602916,2,Individual,583811
verification_status_joint,602916,4,,584151
revol_bal_joint,602916,14934,,585049
sec_app_fico_range_low,602916,61,,585049
sec_app_fico_range_high,602916,61,,585049
sec_app_earliest_cr_line,602916,578,,585049
sec_app_inq_last_6mths,602916,8,,585049
sec_app_mort_acc,602916,16,,585049
sec_app_open_acc,602916,53,,585049
sec_app_revol_util,602916,1126,,585804
sec_app_open_act_il,602916,36,,585049
sec_app_num_rev_accts,602916,68,,585049
sec_app_chargeoff_within_12_mths,602916,17,,585049
sec_app_collections_12_mths_ex_med,602916,13,,585049
sec_app_mths_since_last_major_derog,602916,121,,595422
hardship_flag,602916,2,N,602802
hardship_type,602916,2,,601176
hardship_reason,602916,10,,601176
hardship_status,602916,4,,601176
hardship_start_date,602916,26,,601176
hardship_end_date,602916,28,,601176
payment_plan_start_date,602916,27,,601176
hardship_loan_status,602916,6,,601176
disbursement_method,602916,2,Cash,589086
debt_settlement_flag,602916,2,N,595249
debt_settlement_flag_date,602916,72,,595249
settlement_status,602916,4,,595249
settlement_date,602916,81,,595249
loan_status_label,602916,1,accepted,602916
issue_quarter,602916,47,2017Q3,37928
open_acc_6m,180000,1,,180000
open_act_il,180000,1,,180000
open_il_12m,180000,1,,180000
open_il_24m,180000,1,,180000
mths_since_rcnt_il,180000,1,,180000
total_bal_il,180000,1,,180000
il_util,180000,1,,180000
open_rv_12m,180000,1,,180000
open_rv_24m,180000,1,,180000
max_bal_bc,180000,1,,180000
all_util,180000,1,,180000
inq_fi,180000,1,,180000
total_cu_tl,180000,1,,180000
inq_last_12m,180000,1,,180000
annual_inc_joint,170000,1,,170000
dti_joint,170000,1,,170000
deferral_term,120000,1,,120000
hardship_amount,120000,1,,120000
hardship_length,120000,1,,120000
hardship_dpd,120000,1,,120000
orig_projected_additional_accrued_interest,120000,1,,120000
hardship_payoff_balance_amount,120000,1,,120000
hardship_last_payment_amount,120000,1,,120000
settlement_amount,20000,1,,20000
settlement_percentage,20000,1,,20000
settlement_term,20000,1,,20000
mths_since_last_major_derog,10000,1,,10000
tot_coll_amt,10000,1,,10000
tot_cur_bal,10000,1,,10000
total_rev_hi_lim,10000,1,,10000
acc_open_past_24mths,10000,1,,10000
avg_cur_bal,10000,1,,10000
bc_open_to_buy,10000,1,,10000
bc_util,10000,1,,10000
mo_sin_old_il_acct,10000,1,,10000
mo_sin_old_rev_tl_op,10000,1,,10000
mo_sin_rcnt_rev_tl_op,10000,1,,10000
mo_sin_rcnt_tl,10000,1,,10000
mort_acc,10000,1,,10000
mths_since_recent_bc,10000,1,,10000
mths_since_recent_bc_dlq,10000,1,,10000
mths_since_recent_inq,10000,1,,10000
mths_since_recent_revol_delinq,10000,1,,10000
num_accts_ever_120_pd,10000,1,,10000
num_actv_bc_tl,10000,1,,10000
num_actv_rev_tl,10000,1,,10000
num_bc_sats,10000,1,,10000
num_bc_tl,10000,1,,10000
num_il_tl,10000,1,,10000
num_op_rev_tl,10000,1,,10000
num_rev_accts,10000,1,,10000
num_rev_tl_bal_gt_0,10000,1,,10000
num_sats,10000,1,,10000
num_tl_120dpd_2m,10000,1,,10000
num_tl_30dpd,10000,1,,10000
num_tl_90g_dpd_24m,10000,1,,10000
num_tl_op_past_12m,10000,1,,10000
pct_tl_nvr_dlq,10000,1,,10000
percent_bc_gt_75,10000,1,,10000
tot_hi_cred_lim,10000,1,,10000
total_bal_ex_mort,10000,1,,10000
total_bc_limit,10000,1,,10000
total_il_high_credit_limit,10000,1,,10000
