,count,mean,std,min,max
loan_amnt,297291.0,3673.970621377707,1234.2557951743968,1000.0,5000.0
funded_amnt,297291.0,3673.67806290806,1234.3597693782065,1000.0,5000.0
funded_amnt_inv,297291.0,3664.7985089139206,1240.2078531321388,0.0,5000.0
int_rate,297291.0,12.769339771469705,4.421679445536142,5.31,30.99
installment,297291.0,123.18837186460406,41.46977750482492,14.01,214.98
annual_inc,297290.0,55508.17215863299,63520.15152792837,0.0,10999200.0
dti,297120.0,17.75180576871298,12.096536859664551,0.0,999.0
delinq_2yrs,297269.0,0.3205985151495783,0.9310458336822667,0.0,32.0
fico_range_low,297291.0,696.3513863520927,33.82487595585611,610.0,845.0
fico_range_high,297291.0,700.3515545374734,33.82561755241548,614.0,850.0
inq_last_6mths,297269.0,0.6045803632400284,0.9127173790605858,0.0,31.0
mths_since_last_delinq,146441.0,34.485178331205056,21.72150874339473,0.0,192.0
mths_since_last_record,53714.0,70.99918084670664,26.527413113433102,0.0,125.0
open_acc,297269.0,10.042496863110516,5.25705027146506,0.0,72.0
pub_rec,297269.0,0.2210691326710824,0.5812862907327602,0.0,49.0
revol_bal,297291.0,9212.047421549929,13134.382671547763,0.0,657104.0
revol_util,296729.0,45.70722376309696,26.680968682982865,0.0,892.3
total_acc,297269.0,20.805099085340213,11.576446836916134,1.0,146.0
out_prncp,297291.0,846.4647218381989,1312.4896516054243,0.0,5000.0
out_prncp_inv,297291.0,845.8352075912154,1311.630191306838,0.0,5000.0
total_pymnt,297291.0,3097.665592393757,1756.5281580786639,0.0,7299.59521874
total_pymnt_inv,297291.0,3088.9170583367804,1756.4231797662492,0.0,7227.22
total_rec_prncp,297291.0,2594.373383688036,1588.3732812663843,0.0,5000.01
total_rec_int,297291.0,477.15605161272964,331.1832108972527,0.0,2410.58
total_rec_late_fee,297291.0,0.8105359518366758,5.180976003490091,0.0,315.0
recoveries,297291.0,25.325646672795315,145.19260306957756,0.0,5254.3
collection_recovery_fee,297291.0,4.2290888886642355,26.398175579919375,0.0,1762.81
last_pymnt_amnt,297291.0,860.1919162104554,1255.8458898562553,0.0,5358.48
last_fico_range_high,297291.0,677.7936802661366,71.21408782566864,0.0,850.0
last_fico_range_low,297291.0,663.7240111540544,116.42590841559225,0.0,845.0
collections_12_mths_ex_med,297200.0,0.022513458950201883,0.16808227470308987,0.0,10.0
mths_since_last_major_derog,83369.0,43.7357291079418,21.45704775980774,0.0,192.0
policy_code,297291.0,1.0,0.0,1.0,1.0
annual_inc_joint,9263.0,97132.22841735935,49636.67004694532,5693.51,1058000.0
dti_joint,9263.0,18.6533865918169,8.66763185936712,0.0,69.49
acc_now_delinq,297269.0,0.004339503950966969,0.07282146529908019,0.0,7.0
tot_coll_amt,284023.0,284.9662985039944,10025.682533884541,0.0,5252395.0
tot_cur_bal,284023.0,92382.80130834474,114847.60447906639,0.0,2261058.0
open_acc_6m,199412.0,0.9520590536176359,1.1427617034879565,0.0,13.0
open_act_il,199412.0,2.661158806892263,3.065690404282243,0.0,49.0
open_il_12m,199412.0,0.710177923093896,0.9551895594223893,0.0,13.0
open_il_24m,199412.0,1.5597306079874833,1.6085233855855885,0.0,28.0
mths_since_rcnt_il,189924.0,21.490980602767422,28.17788747050926,0.0,478.0
total_bal_il,199412.0,27696.38222373779,36613.783750896415,0.0,878459.0
il_util,167811.0,71.97309473157301,24.50198868728423,0.0,1000.0
open_rv_12m,199412.0,1.3061751549555694,1.5196045431576855,0.0,28.0
open_rv_24m,199412.0,2.683429282089343,2.532115678535959,0.0,49.0
max_bal_bc,199412.0,3455.6559334443264,3740.791678850048,0.0,171845.0
all_util,199346.0,56.73667894013424,23.546123332849223,0.0,198.0
total_rev_hi_lim,284023.0,21766.31887910486,22451.064485599283,0.0,1091000.0
inq_fi,199412.0,1.0333329990171103,1.5105917171698426,0.0,29.0
total_cu_tl,199412.0,1.2676869997793514,2.469060108429107,0.0,52.0
inq_last_12m,199412.0,1.9913595972158145,2.3482675218494706,0.0,42.0
acc_open_past_24mths,287025.0,4.420231687135267,3.101871412226529,0.0,50.0
avg_cur_bal,283986.0,9964.51975801624,13431.720294951008,0.0,322584.0
bc_open_to_buy,279963.0,7692.060854470055,12409.918113469388,0.0,258447.0
bc_util,279793.0,54.35136011265472,31.44758395196698,0.0,215.7
chargeoff_within_12_mths,297200.0,0.008792059219380888,0.10742987149527865,0.0,7.0
delinq_amnt,297269.0,13.502756762393657,751.5329423623696,0.0,130778.0
mo_sin_old_il_acct,270060.0,117.79997407983412,56.35036052252768,0.0,999.0
mo_sin_old_rev_tl_op,284022.0,164.21224412193422,99.7226244135968,1.0,812.0
mo_sin_rcnt_rev_tl_op,284022.0,13.837516107907135,17.506877544416504,0.0,372.0
mo_sin_rcnt_tl,284023.0,8.138214158712499,9.417369170483196,0.0,368.0
mort_acc,287025.0,1.0912080829196062,1.6057793910581164,0.0,24.0
mths_since_recent_bc,280331.0,25.50948343208564,33.657786626155485,0.0,661.0
mths_since_recent_bc_dlq,69528.0,39.535395811759294,22.540552368666017,0.0,194.0
mths_since_recent_inq,253945.0,6.958207485872925,5.971637175533642,0.0,25.0
mths_since_recent_revol_delinq,98608.0,35.966676131754014,22.192457776579214,0.0,174.0
num_accts_ever_120_pd,284023.0,0.5889769490499008,1.511934771819753,0.0,38.0
num_actv_bc_tl,284023.0,2.9426243649281925,2.03746569900137,0.0,32.0
num_actv_rev_tl,284023.0,4.741130119743824,3.0395296729853767,0.0,47.0
num_bc_sats,285781.0,3.7760767860704525,2.587023746908616,0.0,42.0
num_bc_tl,284023.0,6.302091732007619,4.282168158085746,0.0,68.0
num_il_tl,284023.0,7.7182164824679695,7.3211977155355745,0.0,132.0
num_op_rev_tl,284023.0,6.955214894568398,4.231494263549914,0.0,67.0
num_rev_accts,284022.0,11.893480082528818,7.592371732312125,0.0,128.0
num_rev_tl_bal_gt_0,284023.0,4.716195519376952,2.998887422253488,0.0,47.0
num_sats,285781.0,10.072254628544234,5.265369882734992,0.0,72.0
num_tl_120dpd_2m,275173.0,0.0006977428744825982,0.030493283959529535,0.0,7.0
num_tl_30dpd,284023.0,0.002908215179756569,0.05848806774516854,0.0,4.0
num_tl_90g_dpd_24m,284023.0,0.1009988627681561,0.5899602799166531,0.0,30.0
num_tl_op_past_12m,284023.0,2.1201135119338925,1.8516664523639406,0.0,28.0
pct_tl_nvr_dlq,284004.0,92.98637413557557,10.457226999234386,0.0,100.0
percent_bc_gt_75,279778.0,40.69717057810119,39.05624253305922,0.0,100.0
pub_rec_bankruptcies,296860.0,0.15119248130431853,0.395032415656422,0.0,11.0
tax_liens,297218.0,0.04070412962875734,0.34221573629731017,0.0,46.0
tot_hi_cred_lim,284023.0,116754.59145562156,129178.76339616778,0.0,9999999.0
total_bal_ex_mort,287025.0,36405.665489068895,38943.695420770826,0.0,880118.0
total_bc_limit,287025.0,13833.231066980228,15459.092367072917,0.0,287000.0
total_il_high_credit_limit,284023.0,33376.62736468526,36380.45894733321,0.0,764315.0
deferral_term,697.0,3.0,0.0,3.0,3.0
hardship_amount,697.0,27.90439024390244,15.70385953392617,0.64,109.0
hardship_length,697.0,3.0,0.0,3.0,3.0
hardship_dpd,697.0,13.200860832137733,9.589556661235845,0.0,30.0
orig_projected_additional_accrued_interest,531.0,81.62254237288134,45.22834287253784,1.92,327.0
hardship_payoff_balance_amount,697.0,2408.743601147776,1050.9516286139415,55.73,5029.88
hardship_last_payment_amount,697.0,51.15655667144906,44.59804978623673,0.01,205.11
settlement_amount,3350.0,1215.3152238805967,655.8386689655288,44.21,5016.62
settlement_percentage,3350.0,49.02316716417911,11.516579875655957,20.0,521.35
settlement_term,3350.0,9.01223880597015,7.338029034635577,0.0,36.0
term_numeric,297291.0,36.0,0.0,36.0,36.0
