column,total_count,unique_categories,mode,mode_count
id,2260701,2260701,68407277,1
member_id,2260701,1,,2260701
term,2260701,3, 36 months,1609754
grade,2260701,8,B,663557
sub_grade,2260701,36,C1,145903
emp_title,2260701,512695,,167002
emp_length,2260701,12,10+ years,748005
home_ownership,2260701,7,MORTGAGE,1111450
verification_status,2260701,4,Source Verified,886231
issue_d,2260701,140,2016-03-01 00:00:00,61992
loan_status,2260701,10,Fully Paid,1076751
pymnt_plan,2260701,3,n,2260048
url,2260701,2260669,,33
desc,2260701,124501,,2134636
purpose,2260701,15,debt_consolidation,1277877
title,2260701,63155,Debt consolidation,1153293
zip_code,2260701,957,112xx,23908
addr_state,2260701,52,CA,314533
earliest_cr_line,2260701,755,Sep-2004,15400
initial_list_status,2260701,3,w,1535467
last_pymnt_d,2260701,137,2019-03-01 00:00:00,853003
next_pymnt_d,2260701,107,,1345343
last_credit_pull_d,2260701,142,2019-03-01 00:00:00,1371381
application_type,2260701,3,Individual,2139958
verification_status_joint,2260701,4,,2144971
revol_bal_joint,2260701,56876,,2152681
sec_app_fico_range_low,2260701,63,,2152680
sec_app_fico_range_high,2260701,63,,2152680
sec_app_earliest_cr_line,2260701,664,,2152680
sec_app_inq_last_6mths,2260701,8,,2152680
sec_app_mort_acc,2260701,24,,2152680
sec_app_open_acc,2260701,68,,2152680
sec_app_revol_util,2260701,1217,,2154517
sec_app_open_act_il,2260701,41,,2152680
sec_app_num_rev_accts,2260701,87,,2152680
sec_app_chargeoff_within_12_mths,2260701,23,,2152680
sec_app_collections_12_mths_ex_med,2260701,19,,2152680
sec_app_mths_since_last_major_derog,2260701,141,,2224759
hardship_flag,2260701,3,N,2259836
hardship_type,2260701,2,,2249784
hardship_reason,2260701,10,,2249784
hardship_status,2260701,4,,2249784
hardship_start_date,2260701,28,,2249784
hardship_end_date,2260701,29,,2249784
payment_plan_start_date,2260701,28,,2249784
hardship_loan_status,2260701,6,,2249784
disbursement_method,2260701,3,Cash,2182546
debt_settlement_flag,2260701,3,N,2226422
debt_settlement_flag_date,2260701,84,,2226455
settlement_status,2260701,4,,2226455
settlement_date,2260701,91,,2226455
loan_status_label,2260701,1,accepted,2260701
issue_quarter,2260701,48,2016Q1,133887
open_acc_6m,820000,1,,820000
open_act_il,820000,1,,820000
open_il_12m,820000,1,,820000
open_il_24m,820000,1,,820000
mths_since_rcnt_il,820000,1,,820000
total_bal_il,820000,1,,820000
il_util,820000,1,,820000
open_rv_12m,820000,1,,820000
open_rv_24m,820000,1,,820000
max_bal_bc,820000,1,,820000
all_util,820000,1,,820000
inq_fi,820000,1,,820000
total_cu_tl,820000,1,,820000
inq_last_12m,820000,1,,820000
annual_inc_joint,770000,1,,770000
dti_joint,770000,1,,770000
deferral_term,210000,1,,210000
hardship_amount,210000,1,,210000
hardship_length,210000,1,,210000
hardship_dpd,210000,1,,210000
orig_projected_additional_accrued_interest,210000,1,,210000
hardship_payoff_balance_amount,210000,1,,210000
hardship_last_payment_amount,210000,1,,210000
settlement_amount,80000,1,,80000
settlement_percentage,80000,1,,80000
settlement_term,80000,1,,80000
mths_since_last_major_derog,40000,1,,40000
tot_coll_amt,40000,1,,40000
tot_cur_bal,40000,1,,40000
total_rev_hi_lim,40000,1,,40000
acc_open_past_24mths,30000,1,,30000
avg_cur_bal,40000,1,,40000
bc_open_to_buy,30000,1,,30000
bc_util,30000,1,,30000
mo_sin_old_il_acct,40000,1,,40000
mo_sin_old_rev_tl_op,40000,1,,40000
mo_sin_rcnt_rev_tl_op,40000,1,,40000
mo_sin_rcnt_tl,40000,1,,40000
mort_acc,30000,1,,30000
mths_since_recent_bc,30000,1,,30000
mths_since_recent_bc_dlq,40000,1,,40000
mths_since_recent_inq,30000,1,,30000
mths_since_recent_revol_delinq,30000,1,,30000
num_accts_ever_120_pd,40000,1,,40000
num_actv_bc_tl,40000,1,,40000
num_actv_rev_tl,40000,1,,40000
num_bc_sats,30000,1,,30000
num_bc_tl,40000,1,,40000
num_il_tl,40000,1,,40000
num_op_rev_tl,40000,1,,40000
num_rev_accts,40000,1,,40000
num_rev_tl_bal_gt_0,40000,1,,40000
num_sats,30000,1,,30000
num_tl_120dpd_2m,40000,1,,40000
num_tl_30dpd,40000,1,,40000
num_tl_90g_dpd_24m,40000,1,,40000
num_tl_op_past_12m,40000,1,,40000
pct_tl_nvr_dlq,40000,1,,40000
percent_bc_gt_75,30000,1,,30000
tot_hi_cred_lim,40000,1,,40000
total_bal_ex_mort,30000,1,,30000
total_bc_limit,30000,1,,30000
total_il_high_credit_limit,40000,1,,40000
