,count,mean,std,min,max
loan_amnt,2260668.0,15046.931227849467,9190.245488232782,500.0,40000.0
funded_amnt,2260668.0,15041.664056818605,9188.413022381998,500.0,40000.0
funded_amnt_inv,2260668.0,15023.437745306328,9192.331678793564,0.0,40000.0
int_rate,2260668.0,13.09282911511111,4.83213836457111,5.31,30.99
installment,2260668.0,445.8068228815553,267.1735346084259,4.93,1719.83
annual_inc,2260664.0,77992.42868706718,112696.19957435425,0.0,110000000.0
dti,2258957.0,18.824196436674097,14.183328543078122,-1.0,999.0
delinq_2yrs,2260639.0,0.3068791611575311,0.8672303328968449,0.0,58.0
fico_range_low,2260668.0,698.5882049022679,33.010376451905515,610.0,845.0
fico_range_high,2260668.0,702.5883999773519,33.01124461672614,614.0,850.0
inq_last_6mths,2260638.0,0.5768353889477218,0.8859631583509199,0.0,33.0
mths_since_last_delinq,1102166.0,34.540915796713016,21.900470896909336,0.0,226.0
mths_since_last_record,359156.0,72.31284177349119,26.464094476272724,0.0,129.0
open_acc,2260639.0,11.612402068618652,5.640861338395336,0.0,101.0
pub_rec,2260639.0,0.1975277786501958,0.5705150143060433,0.0,86.0
revol_bal,2260668.0,16658.458077877865,22948.305027790433,0.0,2904836.0
revol_util,2258866.0,50.337696246700794,24.713073320891382,0.0,892.3
total_acc,2260639.0,24.162552269513178,11.987528317343356,1.0,176.0
out_prncp,2260668.0,4206.891439362169,7343.238522071135,0.0,40000.0
out_prncp_inv,2260668.0,4205.965356509668,7342.332972467976,0.0,40000.0
total_pymnt,2260668.0,12082.556829495921,9901.383185070781,0.0,63296.877916990896
total_pymnt_inv,2260668.0,12064.39465456228,9896.99174510672,0.0,63296.88
total_rec_prncp,2260668.0,9505.771587681165,8321.852079137632,0.0,40000.0
total_rec_int,2260668.0,2431.387654472041,2679.737839675103,0.0,28192.5
total_rec_late_fee,2260668.0,1.5184530378664212,11.841591673756671,-9.5e-09,1484.34
recoveries,2260668.0,143.8791352214888,748.1640051136737,0.0,39859.55
collection_recovery_fee,2260668.0,23.982565859331025,131.22558696711204,0.0,7174.719
last_pymnt_amnt,2260668.0,3429.345941910568,6018.2475817674385,0.0,42192.05
last_fico_range_high,2260668.0,687.6609953341225,72.97043534885415,0.0,850.0
last_fico_range_low,2260668.0,675.5397298497612,111.09762614529949,0.0,845.0
collections_12_mths_ex_med,2260523.0,0.018145800772653053,0.15081314218644085,0.0,20.0
mths_since_last_major_derog,580775.0,44.16422022297792,21.533120592737916,0.0,226.0
policy_code,2260668.0,1.0,0.0,1.0,1.0
annual_inc_joint,120710.0,123624.6367005219,74161.34632777527,5693.51,7874821.0
dti_joint,120706.0,19.251817059632494,7.822085979598841,0.0,69.49
acc_now_delinq,2260639.0,0.004147942241109704,0.0696165626603975,0.0,14.0
tot_coll_amt,2190392.0,232.73173888509453,8518.461819489168,0.0,9152545.0
tot_cur_bal,2190392.0,142492.1952015895,160692.64061666687,0.0,9971659.0
open_acc_6m,1394538.0,0.9344198580461773,1.1406999321459674,0.0,18.0
open_act_il,1394539.0,2.7794066713085828,3.0007843575823134,0.0,57.0
open_il_12m,1394539.0,0.6764314228573026,0.9256354270211496,0.0,25.0
open_il_24m,1394539.0,1.5627515616271757,1.5786720954929943,0.0,51.0
mths_since_rcnt_il,1350744.0,21.22235671600244,26.049186703055888,0.0,511.0
total_bal_il,1394539.0,35506.645267719294,44097.455924915055,0.0,1837038.0
il_util,1191818.0,69.14097957909681,23.748386341161517,0.0,1000.0
open_rv_12m,1394539.0,1.2901331551143425,1.506826646858514,0.0,28.0
open_rv_24m,1394539.0,2.74992309286438,2.596910679367778,0.0,60.0
max_bal_bc,1394539.0,5806.392904752036,5690.561012072087,0.0,1170668.0
all_util,1394320.0,57.03229531241035,20.90474759597183,0.0,239.0
total_rev_hi_lim,2190392.0,34573.94276914817,36728.49544778414,0.0,9999999.0
inq_fi,1394539.0,1.0128666175703942,1.4894556681024815,0.0,48.0
total_cu_tl,1394538.0,1.4773043115354332,2.67299119117302,0.0,111.0
inq_last_12m,1394538.0,2.0366673407250286,2.3831172236610314,0.0,67.0
acc_open_past_24mths,2210638.0,4.521655739202891,3.1642294358503036,0.0,64.0
avg_cur_bal,2190322.0,13547.797508768117,16474.075009507338,0.0,958084.0
bc_open_to_buy,2185733.0,11394.262687620125,16599.534400378066,0.0,711140.0
bc_util,2184597.0,57.89994754181207,28.583474537910277,0.0,339.6
chargeoff_within_12_mths,2260523.0,0.008464412881443808,0.10480978916727411,0.0,10.0
delinq_amnt,2260639.0,12.369827734547622,726.4647812917943,0.0,249925.0
mo_sin_old_il_acct,2121597.0,125.73776075286682,53.382175417923385,0.0,999.0
mo_sin_old_rev_tl_op,2190391.0,181.49156748726597,97.11845373486864,1.0,999.0
mo_sin_rcnt_rev_tl_op,2190391.0,14.024089306429765,17.533082551430837,0.0,547.0
mo_sin_rcnt_tl,2190392.0,8.297468672274187,9.208556538554237,0.0,382.0
mort_acc,2210638.0,1.5553822018801813,1.9049810172530939,0.0,94.0
mths_since_recent_bc,2187256.0,24.84485080850161,32.31925269164234,0.0,661.0
mths_since_recent_bc_dlq,519701.0,39.30308966117056,22.617688639338276,0.0,202.0
mths_since_recent_inq,1965233.0,7.024194077750577,5.965411441787444,0.0,25.0
mths_since_recent_revol_delinq,740359.0,35.78222321873577,22.307238940645842,0.0,202.0
num_accts_ever_120_pd,2190392.0,0.5002081819144701,1.350325677562237,0.0,58.0
num_actv_bc_tl,2190392.0,3.676068941084518,2.3246464154592186,0.0,50.0
num_actv_rev_tl,2190392.0,5.629467693453957,3.382873759059618,0.0,72.0
num_bc_sats,2202078.0,4.774183294143078,3.0379214235430316,0.0,71.0
num_bc_tl,2190392.0,7.726401940839813,4.7014301133702805,0.0,86.0
num_il_tl,2190392.0,8.413438781734046,7.35911377060085,0.0,159.0
num_op_rev_tl,2190392.0,8.246522540257635,4.683927892155316,0.0,91.0
num_rev_accts,2190391.0,14.0046297670142,8.038867537833628,0.0,151.0
num_rev_tl_bal_gt_0,2190392.0,5.577950887329757,3.293433855622479,0.0,65.0
num_sats,2202078.0,11.628129884590827,5.6440265481506025,0.0,101.0
num_tl_120dpd_2m,2107011.0,0.0006373958180569537,0.02710643324419818,0.0,7.0
num_tl_30dpd,2190392.0,0.002813651620349234,0.05616522446916042,0.0,4.0
num_tl_90g_dpd_24m,2190392.0,0.0829376659520305,0.4935732136320156,0.0,58.0
num_tl_op_past_12m,2190392.0,2.0767552109394116,1.8307107646921243,0.0,32.0
pct_tl_nvr_dlq,2190237.0,94.11457645907723,9.036140361127735,0.0,100.0
percent_bc_gt_75,2185289.0,42.43512653932728,36.21615732564783,0.0,100.0
pub_rec_bankruptcies,2259303.0,0.12819351808942847,0.3646129974673866,0.0,12.0
tax_liens,2260563.0,0.0467710919801837,0.3775338209969958,0.0,85.0
tot_hi_cred_lim,2190392.0,178242.75374362213,181574.81465455153,0.0,9999999.0
total_bal_ex_mort,2210638.0,51022.93846165677,49911.23566574765,0.0,3408095.0
total_bc_limit,2210638.0,23193.76817326039,23006.55823873661,0.0,1569000.0
total_il_high_credit_limit,2190392.0,43732.01347567011,45072.98219154247,0.0,2118996.0
deferral_term,10917.0,3.0,0.0,3.0,3.0
hardship_amount,10917.0,155.04598058074563,129.04059407028794,0.64,943.94
hardship_length,10917.0,3.0,0.0,3.0,3.0
